nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
63,PL1911JB,"TULLICH 6"" PRODUCTION AT WELL P14",MIXED HYDROCARBONS,NOT IN USE,0.052036,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,152.4,49.4,0.2,20.101325,251.2,8.476105,40.923895,0.828419,0.171581,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
64,PL1891.3,ANP TIE-IN SPOOL,MIXED HYDROCARBONS,ACTIVE,0.124,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,168.1,25.5,0.2,32.101325,219.1,11.806395,13.693605,0.537004,0.462996,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
65,PL1253,THELMA GAS LIFT,GAS,ACTIVE,6.9487,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,240.0,101.5,31.1,0.2,24.101325,163.7,6.622799,24.477201,0.787048,0.212952,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
66,PL3184,Clair Ridge - 6in Gas Export Pipeline,GAS,ACTIVE,13.9,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,235.0,146.3,11.0,0.2,23.601325,168.3,6.667645,4.332355,0.39385,0.60615,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
67,PL1648,BITTERN DCB TO BITTERN DCA OIL LINE 2,MIXED HYDROCARBONS,ACTIVE,1.7,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,244.5,14.3,0.2,18.101325,273.1,8.298203,6.001797,0.419706,0.580294,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
68,PL1714,Production Jumper Bundle from Manifold M21 to Manifold M24 - Gas,GAS,ACTIVE,0.056,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
69,PL3262,Production Jumper Bundle from Manifold M1 to XT CP05 - Production,MIXED HYDROCARBONS,ACTIVE,0.031,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
70,PL3286,Production Jumper Bundle from Manifold M1 to XT CP05 - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.031,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
71,PL3457,Production Jumper Bundle from Manifold M21 to XT WP02 - Production,MIXED HYDROCARBONS,ACTIVE,0.18,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
72,PL3393,Production Jumper Bundle from Manifold M121 to XT FP02 - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.056,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
73,PL3456,Production Jumper Bundle from Manifold M21 to XT WP01 - Production,MIXED HYDROCARBONS,ACTIVE,0.044,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.0,17.7,0.2,25.801325,276.4,11.971044,5.728956,0.32367,0.67633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
74,PL3516,Loyal Production Jumper XT LP03 to Manifold M43,MIXED HYDROCARBONS,ACTIVE,0.047,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.3,15.9,0.2,25.801325,273.1,11.828119,4.071881,0.256093,0.743907,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
75,PL3390,8in Gas Lift Pipeline L121,GAS,ACTIVE,0.053,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,241.3,15.9,0.2,25.801325,273.1,11.828119,4.071881,0.256093,0.743907,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
76,PL1416,FPSO - 8in Production Flowline - 8in Flowline L23,MIXED HYDROCARBONS,NOT IN USE,1.618,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,192.1,13.5,0.2,25.801325,219.1,9.489348,4.010652,0.297085,0.702915,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
77,PL922,NINIAN CENTRAL TO STRATHSPEY UTILITIES,MIXED HYDROCARBONS,NOT IN USE,15.729,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,80.1,17.1,0.2,20.101325,114.3,3.856763,13.243237,0.774458,0.225542,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
