nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
1,PL774,CATS PIPELINE,GAS,ACTIVE,404.973744,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,179.3,857.6,28.4,0.2,18.031325,914.4,27.676798,0.723202,0.025465,0.974535,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
2,PL1761,20in Gas Trunkline - Schiehallion PLEM to Sullom Voe terminal,GAS,ACTIVE,188.0,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,235.0,473.0,17.5,0.2,23.601325,508.0,20.125751,-2.625751,-0.150043,1.150043,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
3,PL762,SAGE PIPELINE,GAS,ACTIVE,323.737672,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,172.3,716.5,22.7,0.2,17.331325,761.9,22.165714,0.534286,0.023537,0.976463,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
4,PL3088,CYGNUS TO ETS GAS PIPELINE,GAS,ACTIVE,50.2338,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,139.3,565.0,22.2,0.2,14.031325,609.4,14.353345,7.846655,0.353453,0.646547,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
5,PL2225,BBL BALGZAND TO BACTON,GAS,ACTIVE,229.28041,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,137.4,872.6,20.9,0.2,13.841325,914.4,21.245447,-0.345447,-0.016529,1.016529,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
6,PL164,MAGNUS TO BRENT A (NLGP),GAS,ACTIVE,79.33639,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,147.0,476.0,15.9,0.2,14.801325,507.8,12.616686,3.283314,0.206498,0.793502,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
7,PL1339,BACTON TO ZEEBRUGE,GAS,ACTIVE,231.578833,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,147.0,972.48,21.76,0.2,14.801325,1016.0,25.243309,-3.483309,-0.160079,1.160079,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
8,PL774,CATS PIPELINE,GAS,ACTIVE,0.10245,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,179.3,857.6,33.9,0.2,18.031325,925.4,28.009743,5.890257,0.173754,0.826246,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
9,"PL762
PL762
PL762",SAGE PIPELINE,GAS,ACTIVE,0.136346,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,172.3,716.5,28.6,0.2,17.331325,773.7,22.509008,6.090992,0.212972,0.787028,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
10,PL1849,Central Gas Jumper from Manifold M1J to Manifold M1C,GAS,ACTIVE,6.073,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,517.56,20.62,0.2,25.801325,558.8,24.201952,-3.581952,-0.173713,1.173713,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
11,PL1360,FPSO - 10in Production Flowline - 10in Flowline L43,MIXED HYDROCARBONS,NOT IN USE,35.308,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,276.1,23.9,0.2,25.801325,323.9,14.028297,9.871703,0.413042,0.586958,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
12,PL3086,CYGNUS A TO CYGNUS B GAS PIPELINE,GAS,ACTIVE,7.7208,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,325.0,273.0,25.4,0.2,32.601325,323.8,17.720015,7.679985,0.302362,0.697638,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
13,PL872,TIFFANY GAS EXPORT,GAS,ACTIVE,36.365,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,248.0,244.5,14.3,0.2,24.901325,273.1,11.415532,2.884468,0.201711,0.798289,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
14,PL3924,1in Gas Lift Line - Machar Gas Lift Manifold to Well W197,GAS,ACTIVE,4.084,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,182.0,254.0,98.05,0.2,18.301325,450.1,13.827496,84.222504,0.858975,0.141025,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
15,PL1361,FPSO - 8in Production Flowline - 8in Flowline L42,MIXED HYDROCARBONS,NOT IN USE,22.778,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,236.5,34.0,0.2,25.801325,304.5,13.188072,20.811928,0.612116,0.387884,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
16,PL2141,FPSO - 10in Production Flowline - 10in Flowline L27,MIXED HYDROCARBONS,NOT IN USE,22.91,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,236.5,34.0,0.2,25.801325,304.5,13.188072,20.811928,0.612116,0.387884,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
17,PL2921,EAST ROCHELLE TO SSIV ROCHELLE,GAS,ACTIVE,29.590354,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,245.0,228.7,20.6,0.2,24.601325,269.9,11.145855,9.454145,0.458939,0.541061,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
18,PL1257A,ERSKINE TO LOMOND GAS CONDENSATE LINE,CONDENSATE,ACTIVE,30.24559,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,118.0,374.6,15.9,0.2,11.901325,406.4,8.118971,7.781029,0.489373,0.510627,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
19,PL917,NINIAN CENTRAL GAS IMPORT FROM BRENT WLGP,GAS,ACTIVE,25.496,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,136.0,371.4,17.5,0.2,13.701325,406.4,9.346914,8.153086,0.465891,0.534109,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
20,PL1340,BACTON TO ZEEBRUGE (onshore),GAS,ACTIVE,1.42367,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,140.0,972.48,27.46,0.2,14.101325,1027.4,24.319322,3.140678,0.114373,0.885627,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
21,PL1760,12in Gas Export - Schiehallion  M1C to Schiehallion PLEM,GAS,ACTIVE,17.0,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,235.0,295.3,14.3,0.2,23.601325,323.9,12.832147,1.467853,0.102647,0.897353,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
22,PL3517,Production Jumper Bundle from Manifold M41 to Manifold M43 - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.047,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
23,PL3635,Production Jumper Bundle from Manifold M1 to Manifold M1X - Gas,GAS,ACTIVE,0.08,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
24,PL3639,Production Jumper Bundle from Manifold M1X to XT CP20 - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.047,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
25,PL3636,Production Jumper Bundle from Manifold M1 to Manifold M1X - Production,MIXED HYDROCARBONS,ACTIVE,0.08,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
26,PL3632,Production Jumper Bundle from M1X to XT CP01 (M1X) - Production,MIXED HYDROCARBONS,ACTIVE,0.062,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
27,PL3628,Production Jumper Bundle from Manifold M1X to XT CP21 - Production,MIXED HYDROCARBONS,ACTIVE,0.04,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
28,PL3634,Production Jumper Bundle from Manifold M1X to XT CP20 - Production,MIXED HYDROCARBONS,ACTIVE,0.047,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
29,PL3627,Production Jumper Bundle from Manifold M1X to XT CP21 - Gas,GAS,ACTIVE,0.04,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
30,PL3631,Production Jumper Bundle from M1X to XT CP01 (M1X) - Gas,GAS,ACTIVE,0.062,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
31,PL3633,Production Jumper Bundle from Manifold M1X to XT CP20 - Gas,GAS,ACTIVE,0.055,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.4,87.25,0.2,25.801325,326.9,14.158228,73.091772,0.837728,0.162272,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
32,PL2759J2,LAGGAN MANIFOLD TO ILT 1-1/2 ON PL2759,GAS,ACTIVE,0.12098,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,230.2,21.44,0.2,51.801325,273.08,23.745578,-2.305578,-0.107536,1.107536,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
33,PL2759J1,TORMORE MANIFOLD TO TORMORE FLET 1-1,GAS,ACTIVE,0.110162,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,230.2,21.44,0.2,51.801325,273.08,23.745578,-2.305578,-0.107536,1.107536,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
